Referencia;Descripción;Fecha;Salidas;Precio;Pedido de venta -> Serie, ejercicio y nº pedido;Pedido de venta -> Nº pedido;Factura de venta -> Serie de factura emitida;Cliente;Cliente -> Nombre fiscal
PH 9294;Banco de Baterías suplementarias (60bat9Amp) para PH 9293;30-Sep-2020;2;1150.8400;01/08-IE/20-00074;74;44;24256;MEDIO INFORMÁTICO, LDA
PH 9301;S.A.I. Phasak Pro-Rack 10000 VA Online LCD 19";20-Mar-2018;1;1987.5500;01/03-N/18-01472;1472;1;47600;RIBEREBRO INTEGRAL, S.A.U.
PH 9301;S.A.I. Phasak Pro-Rack 10000 VA Online LCD 19";30-Abr-2018;1;1987.5500;01/03-N/18-02184;2184;1;39516;ICIM LAB, S.L.
PH 9301;S.A.I. Phasak Pro-Rack 10000 VA Online LCD 19";5-Jun-2018;1;1987.5500;01/03-N/18-02819;2819;1;47600;RIBEREBRO INTEGRAL, S.A.U.
PH 9301;S.A.I. Phasak Pro-Rack 10000 VA Online LCD 19";18-Jun-2018;1;1987.5500;01/03-N/18-03081;3081;1;47600;RIBEREBRO INTEGRAL, S.A.U.
PH 9301;S.A.I. Phasak Pro-Rack 10000 VA Online LCD 19";16-Jul-2018;0;1987.5500;01/03-N/18-03515;3515;1;47600;RIBEREBRO INTEGRAL, S.A.U.
PH 9301;S.A.I. Phasak Pro-Rack 10000 VA Online LCD 19";31-Jul-2018;1;959.6700;01/03-I/18-03459;3459;2;24256;MEDIO INFORMÁTICO, LDA
PH 9301;S.A.I. Phasak Pro-Rack 10000 VA Online LCD 19";30-Ago-2018;1;1914.8000;01/03-N/18-04067;4067;1;15426;TAGG VALLES S.L
PH 9301;S.A.I. Phasak Pro-Rack 10000 VA Online LCD 19";18-Dic-2018;1;1476.4000;01/04-M/18-01048;1048;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9301;S.A.I. Phasak Pro-Rack 10000 VA Online LCD 19";28-Oct-2019;1;1598.0000;01/03-N/19-04404;4404;1;37731;COMERCIAL HISPANOFIL, S.A.
PH 9301;S.A.I. Phasak Pro-Rack 10000 VA Online LCD 19";7-Nov-2019;1;1476.5000;01/04-M/19-01296;1296;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9301;S.A.I. Phasak Pro-Rack 10000 VA Online LCD 19";28-Nov-2019;2;1476.4100;01/03-N/19-04989;4989;1;64755;P M PLAN CONSULTING 2010 S.L.
PH 9301;S.A.I. Phasak Pro-Rack 10000 VA Online LCD 19";22-Ene-2020;2;1262.7000;01/04-M/20-00073;73;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9301;S.A.I. Phasak Pro-Rack 10000 VA Online LCD 19";16-Abr-2020;1;1476.4100;01/08-N/20-00397;397;1;64755;P M PLAN CONSULTING 2010 S.L.
PH 9301;S.A.I. Phasak Pro-Rack 10000 VA Online LCD 19";15-Jun-2020;1;1279.6000;01/04-M/20-00573;573;18;57123;KILOVATIO GALICIA
PH 9301;S.A.I. Phasak Pro-Rack 10000 VA Online LCD 19";11-Nov-2020;1;1495.8700;01/09-PM/20-00698;698;45;66756;CLIENTE FACTURA SIMPLIFICADA PC COMPONENTES
PH 9301;S.A.I. Phasak Pro-Rack 10000 VA Online LCD 19";18-Nov-2020;1;1476.4100;01/08-N/20-04695;4695;1;66960;DEA SISTEMAS DE TELECOMUNICACIÓN S.L.
PH 9301;S.A.I. Phasak Pro-Rack 10000 VA Online LCD 19";25-Nov-2020;1;1279.6000;01/04-M/20-01198;1198;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9301;S.A.I. Phasak Pro-Rack 10000 VA Online LCD 19";15-Dic-2020;1;1586.7800;01/09-PM/20-00853;853;45;66756;CLIENTE FACTURA SIMPLIFICADA PC COMPONENTES
PH 9301;S.A.I. Phasak Pro-Rack 10000 VA Online LCD 19";8-Ene-2021;1;1433.1500;01/04-M/21-00013;13;18;28786;COMPONENTES INFORMATICOS ASTURIAS S.L.
PH 9301;S.A.I. Phasak Pro-Rack 10000 VA Online LCD 19";12-Ene-2021;0;1586.7800;01/09-PM/21-00074;74;45;66756;CLIENTE FACTURA SIMPLIFICADA PC COMPONENTES
PH 9301;S.A.I. Phasak Pro-Rack 10000 VA Online LCD 19";21-Ene-2021;1;1586.7800;;;45;67108;RIEGOS Y TECNOLOGIA S.L.
PH 9301;S.A.I. Phasak Pro-Rack 10000 VA Online LCD 19";12-Feb-2021;1;1653.5800;01/08-N/21-00773;773;1;67180;NYRAY INSTALLER SLU
PH 9301;S.A.I. Phasak Pro-Rack 10000 VA Online LCD 19";11-May-2021;1;1295.0000;01/08-N/21-02178;2178;1;59590;MORON EQUIPMENT AM3 S.L.
PH 9301;S.A.I. Phasak Pro-Rack 10000 VA Online LCD 19";26-May-2021;1;1748.7500;01/09-PM/21-00614;614;45;66756;CLIENTE FACTURA SIMPLIFICADA PC COMPONENTES
PH 9301;S.A.I. Phasak Pro-Rack 10000 VA Online LCD 19";20-Jul-2021;1;1954.2300;01/04-M/21-00728;728;18;20466;GLOBOMATIK INFORMATICA, SL
PH 9301;S.A.I. Phasak Pro-Rack 10000 VA Online LCD 19";19-Oct-2021;1;1611.5600;01/09-PM/21-01039;1039;45;66756;CLIENTE FACTURA SIMPLIFICADA PC COMPONENTES
PH 9301;S.A.I. Phasak Pro-Rack 10000 VA Online LCD 19";4-Nov-2021;1;1611.5600;01/09-S/21-00033;33;38;67432;AROCA SEIQUER & ASOCIADOS S.L.
PH 9301;S.A.I. Phasak Pro-Rack 10000 VA Online LCD 19";4-Nov-2021;0;1611.5600;01/09-PM/21-01158;1158;45;66756;CLIENTE FACTURA SIMPLIFICADA PC COMPONENTES
PH 9301;S.A.I. Phasak Pro-Rack 10000 VA Online LCD 19";5-Nov-2021;1;1363.1000;01/08-N/21-04477;4477;1;50979;HOGAR DIGITAL E INMOTICA INGENIEROS S.L.
PH 9301;S.A.I. Phasak Pro-Rack 10000 VA Online LCD 19";25-Nov-2021;1;1236.0600;01/04-M/21-01019;1019;18;20466;GLOBOMATIK INFORMATICA, SL
PH 9301;S.A.I. Phasak Pro-Rack 10000 VA Online LCD 19";20-Dic-2021;1;1588.4300;01/09-PM/21-01498;1498;45;66756;CLIENTE FACTURA SIMPLIFICADA PC COMPONENTES
PH 9301;S.A.I. Phasak Pro-Rack 10000 VA Online LCD 19";28-Dic-2021;1;1287.0300;01/04-M/21-01106;1106;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9301;S.A.I. Phasak Pro-Rack 10000 VA Online LCD 19";7-Ene-2022;0;1588.4300;01/09-PM/22-00056;56;45;66756;CLIENTE FACTURA SIMPLIFICADA PC COMPONENTES
PH 9301;S.A.I. Phasak Pro-Rack 10000 VA Online LCD 19";7-Ene-2022;1;1588.4300;01/09-S/22-00006;6;38;67575;CREU GROGA S.L.
PH 9301;S.A.I. Phasak Pro-Rack 10000 VA Online LCD 19";21-Mar-2022;1;1389.3600;01/04-M/22-00196;196;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9301;S.A.I. Phasak Pro-Rack 10000 VA Online LCD 19";29-Abr-2022;1;1309.8400;01/08-N/22-01242;1242;1;50714;INET TALAVERA 2010, S.L.
PH 9301;S.A.I. Phasak Pro-Rack 10000 VA Online LCD 19";7-Jun-2022;2;1719.0100;01/09-S/22-00120;120;38;63555;GRUP EINA DIGITAL S.L.
PH 9301;S.A.I. Phasak Pro-Rack 10000 VA Online LCD 19";15-Jun-2022;1;1309.8400;01/08-N/22-01712;1712;1;50714;INET TALAVERA 2010, S.L.
PH 9301;S.A.I. Phasak Pro-Rack 10000 VA Online LCD 19";20-Jun-2022;2;1719.0100;01/09-PM/22-00693;693;45;66756;CLIENTE FACTURA SIMPLIFICADA PC COMPONENTES
PH 9301;S.A.I. Phasak Pro-Rack 10000 VA Online LCD 19";21-Jun-2022;0;1719.0100;01/09-PM/22-01023;1023;45;66756;CLIENTE FACTURA SIMPLIFICADA PC COMPONENTES
PH 9301;S.A.I. Phasak Pro-Rack 10000 VA Online LCD 19";12-Jul-2022;1;1387.2300;01/08-M/22-00028;28;18;23167;X-NET, S.L.
PH 9301;S.A.I. Phasak Pro-Rack 10000 VA Online LCD 19";4-Oct-2022;1;1387.2300;01/04-N/22-00189;189;1;57805;I.G.T. MICROELECTRONICS S.L.
PH 9301;S.A.I. Phasak Pro-Rack 10000 VA Online LCD 19";17-Oct-2022;1;1578.7800;01/08-N/22-04115;4115;1;31753;PULSAN REDES, S.L.
PH 9301;S.A.I. Phasak Pro-Rack 10000 VA Online LCD 19";18-Oct-2022;1;1420.9100;01/04-M/22-00791;791;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9312;Banco de Baterías suplementarias (X4bat-12V-9Amp) para PH 9310;20-May-2020;1;245.0000;01/08-N/20-01228;1228;1;57751;INNOVATE POWERING ELECTRONIC S.L.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;9-Ene-2018;4;210.9500;01/03-I/18-00054;54;2;45401;INNOVATIO NEGOTIUM ELECTRONICOS E COMPONENTES, UNIPESSOAL , LDA
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;10-Ene-2018;0;210.9500;01/03-I/18-00055;55;2;45401;INNOVATIO NEGOTIUM ELECTRONICOS E COMPONENTES, UNIPESSOAL , LDA
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;10-Ene-2018;7;210.9500;01/03-I/18-00056;56;2;45401;INNOVATIO NEGOTIUM ELECTRONICOS E COMPONENTES, UNIPESSOAL , LDA
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;18-Ene-2018;1;390.6600;01/03-N/18-00056;56;1;54606;SEGURIDAD INTEGRAL SECOEX SA
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;22-Ene-2018;1;413.6400;01/03-N/18-00352;352;1;50159;ETXESOFT TECHNOLOGIES & CONSULTING S.L.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;12-Mar-2018;1;334.8500;01/04-M/18-00180;180;18;28786;COMPONENTES INFORMATICOS ASTURIAS S.L.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;13-Mar-2018;1;210.9500;01/03-I/18-00846;846;2;45401;INNOVATIO NEGOTIUM ELECTRONICOS E COMPONENTES, UNIPESSOAL , LDA
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;15-Mar-2018;1;334.8500;01/04-M/18-00196;196;18;28786;COMPONENTES INFORMATICOS ASTURIAS S.L.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;22-Mar-2018;1;334.8500;01/04-M/18-00217;217;18;28786;COMPONENTES INFORMATICOS ASTURIAS S.L.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;26-Mar-2018;1;334.8500;01/04-M/18-00222;222;18;39162;HANDEL POINT S.L.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;10-Abr-2018;0;334.8500;01/04-M/18-00197;197;18;28786;COMPONENTES INFORMATICOS ASTURIAS S.L.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;10-Abr-2018;1;301.3600;01/03-N/18-01852;1852;1;56529;AR-14 SOLUCIONES TECNOLOGICAS, S.L.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;30-Abr-2018;1;334.8500;01/04-M/18-00309;309;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;2-May-2018;1;334.8500;01/04-M/18-00314;314;18;20466;GLOBOMATIK INFORMATICA, SL
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;26-Jun-2018;1;326.8700;01/04-M/18-00487;487;18;20466;GLOBOMATIK INFORMATICA, SL
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;27-Jul-2018;1;390.6600;01/03-N/18-03045;3045;1;54606;SEGURIDAD INTEGRAL SECOEX SA
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;8-Ago-2018;1;326.8700;01/04-M/18-00609;609;18;50408;CENTRAL LOGISTICA INFORMATICA, CB
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;8-Ago-2018;1;420.2600;01/03-N/18-03914;3914;1;38610;ENGASOFT, S.L.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;10-Ago-2018;1;326.8700;01/04-M/18-00612;612;18;58229;JAVA COMPONENTES, SL*
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;23-Ago-2018;2;420.2600;01/03-N/18-04010;4010;1;53676;INSTALACIONES REJEMAR, S.L.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;4-Oct-2018;1;390.6600;01/03-N/18-04717;4717;1;54606;SEGURIDAD INTEGRAL SECOEX SA
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;30-Oct-2018;1;420.2600;01/03-N/18-05220;5220;1;54394;SISTEMAS DE OFICINA DE JEREZ S.L.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;6-Nov-2018;1;420.2500;01/03-N/18-05322;5322;1;21699;SACE ELECTRICIDAD C.B.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;6-Nov-2018;1;316.8000;01/04-M/18-00878;878;18;50408;CENTRAL LOGISTICA INFORMATICA, CB
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;12-Nov-2018;1;390.6600;01/03-N/18-05355;5355;1;54606;SEGURIDAD INTEGRAL SECOEX SA
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;15-Nov-2018;1;399.0000;01/03-N/18-05493;5493;1;10449;RECERCA I SERVEIS TECNOLOGICS, S.L.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;26-Nov-2018;1;420.2500;01/03-N/18-05741;5741;1;57760;JESUS BLAZQUEZ OLAYO
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;27-Nov-2018;1;316.8000;01/04-M/18-00982;982;18;20466;GLOBOMATIK INFORMATICA, SL
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA/ 1350W  LCD ;17-Dic-2018;2;349.0000;01/03-N/18-05813;5813;1;57708;FIBRACART TECNOLOGIA, S.L.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;9-Ene-2019;1;389.0000;01/03-N/18-06062;6062;1;32942;NATANAEL, S.L.*
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;21-Ene-2019;1;420.2500;01/03-N/19-00230;230;1;53676;INSTALACIONES REJEMAR, S.L.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;11-Feb-2019;1;695.0000;01/04-A/19-00046;46;22;62551;AMAZON SERVICES EUROPE, S.A.R.L. (SP)
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;14-Feb-2019;1;316.8000;01/04-M/19-00205;205;18;57123;KILOVATIO GALICIA
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;26-Mar-2019;2;316.8000;01/04-M/19-00383;383;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;16-Abr-2019;1;316.8000;01/04-M/19-00453;453;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;16-May-2019;1;420.2500;01/03-N/19-02129;2129;1;49886;GREGAL ENGINYERIA TELEMATICA, S.L.U.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;25-Jun-2019;1;420.2500;01/03-N/19-02720;2720;1;37750;ECLIPSE COMUNICACIÓN DIXITAL, S.L.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;26-Jul-2019;1;293.8500;01/04-M/19-00832;832;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;29-Jul-2019;1;390.6600;01/03-N/19-03175;3175;1;54606;SEGURIDAD INTEGRAL SECOEX SA
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;9-Sep-2019;1;294.2000;01/04-M/19-00992;992;18;20466;GLOBOMATIK INFORMATICA, SL
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;3-Oct-2019;2;294.2000;01/04-M/19-01138;1138;18;20466;GLOBOMATIK INFORMATICA, SL
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;21-Oct-2019;1;374.4500;01/03-N/19-04321;4321;1;57665;VUNKERS IT EXPERTS, S.L.U.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;30-Oct-2019;1;288.1000;01/04-M/19-01262;1262;18;57123;KILOVATIO GALICIA
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;12-Nov-2019;2;374.4500;01/03-N/19-04670;4670;1;53676;INSTALACIONES REJEMAR, S.L.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;21-Nov-2019;1;338.0000;01/03-N/19-04865;4865;1;60749;PC MOIA S.L.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;25-Nov-2019;1;278.9000;01/04-M/19-01365;1365;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;11-Dic-2019;1;278.9000;01/04-M/19-01445;1445;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;19-Dic-2019;1;298.8000;01/03-N/19-05314;5314;1;30376;INFOCENTRO BENAVENTE, S.L.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;20-Dic-2019;1;278.9000;01/04-M/19-01493;1493;18;57123;KILOVATIO GALICIA
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;27-Dic-2019;1;298.8000;01/03-N/19-05304;5304;1;37750;ECLIPSE COMUNICACIÓN DIXITAL, S.L.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;27-Dic-2019;1;298.8000;01/03-N/19-05379;5379;1;37750;ECLIPSE COMUNICACIÓN DIXITAL, S.L.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;13-Ene-2020;1;298.8000;01/03-N/20-00135;135;1;56435;TECNICA CINEMATOGRAFICA LOZA S.L.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;15-Ene-2020;1;298.8000;01/03-N/20-00155;155;1;10066;ENGINYERIA INFORMATICA OLOT S.L.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;29-Ene-2020;1;298.8000;01/03-N/20-00389;389;1;15078;COMPUSOFT ENGINYERIA S.L.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;31-Ene-2020;1;278.9000;01/04-M/20-00139;139;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;3-Feb-2020;1;298.8000;01/03-N/20-00458;458;1;53593;PBX COMUNICACIONS 2011, SL
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;4-Feb-2020;1;298.8000;01/03-N/20-00501;501;1;57665;VUNKERS IT EXPERTS, S.L.U.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;13-Feb-2020;1;298.8000;01/03-N/20-00674;674;1;10066;ENGINYERIA INFORMATICA OLOT S.L.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;3-Mar-2020;1;298.8000;01/08-N/20-00125;125;1;10066;ENGINYERIA INFORMATICA OLOT S.L.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;14-Abr-2020;1;298.8000;01/08-N/20-00418;418;1;53593;PBX COMUNICACIONS 2011, SL
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;6-May-2020;1;298.8000;01/08-N/20-01281;1281;1;53676;INSTALACIONES REJEMAR, S.L.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;21-May-2020;1;278.9000;01/04-M/20-00474;474;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;17-Jun-2020;1;298.8000;01/08-N/20-01945;1945;1;37750;ECLIPSE COMUNICACIÓN DIXITAL, S.L.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;26-Jun-2020;2;278.9000;01/04-M/20-00607;607;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;29-Jun-2020;1;278.9000;01/04-M/20-00639;639;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;9-Jul-2020;1;278.9000;01/04-M/20-00679;679;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;13-Jul-2020;1;278.9000;01/04-M/20-00693;693;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;14-Jul-2020;0;278.9000;01/04-M/20-00692;692;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;14-Jul-2020;1;298.8000;01/08-N/20-02414;2414;1;57691;MILLORSERVEI COMUNICACIONS S.L.U.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;22-Jul-2020;1;298.8000;01/08-N/20-02603;2603;1;54394;SISTEMAS DE OFICINA DE JEREZ S.L.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;29-Jul-2020;0;294.2000;01/04-M/20-00725;725;18;20466;GLOBOMATIK INFORMATICA, SL
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;31-Jul-2020;1;217.4400;01/08-IE/20-00057;57;44;24256;MEDIO INFORMÁTICO, LDA
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;7-Ago-2020;1;278.9000;01/04-N/20-00091;91;1;40621;HM HISPAMICRO SISTEMAS INFORMATICOS S.L.U.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;17-Ago-2020;1;289.0000;01/08-N/20-02868;2868;1;34157;EXTENSA TELECOM, S.L.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;18-Ago-2020;1;278.9000;01/04-M/20-00792;792;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;21-Ago-2020;1;271.6500;01/04-M/20-00800;800;18;57160;DIELTRON ELECTRONICA S.L.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;11-Sep-2020;0;278.9000;01/04-M/20-00864;864;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;29-Sep-2020;1;278.9000;01/04-M/20-00933;933;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;29-Sep-2020;2;298.8000;01/08-N/20-03741;3741;1;53676;INSTALACIONES REJEMAR, S.L.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;30-Sep-2020;1;217.4300;01/08-IE/20-00074;74;44;24256;MEDIO INFORMÁTICO, LDA
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;7-Oct-2020;1;298.8000;01/08-N/20-03905;3905;1;54394;SISTEMAS DE OFICINA DE JEREZ S.L.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;19-Oct-2020;1;298.8000;01/08-N/20-04083;4083;1;15078;COMPUSOFT ENGINYERIA S.L.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;20-Oct-2020;1;409.0900;01/04-A/20-00334;334;22;57643;AMAZON SERVICES SARL
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;20-Oct-2020;1;278.9000;01/04-M/20-01020;1020;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;22-Oct-2020;1;278.9000;01/04-M/20-01042;1042;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;28-Oct-2020;1;278.9000;01/04-M/20-01058;1058;18;20466;GLOBOMATIK INFORMATICA, SL
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD Plan renove phasak 8312150710477;30-Oct-2020;1;289.0000;01/08-N/20-04316;4316;1;10449;RECERCA I SERVEIS TECNOLOGICS, S.L.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;17-Nov-2020;1;298.8000;01/08-N/20-04675;4675;1;25941;CLAVE INFORMATICA SOFT, S.L.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;23-Nov-2020;1;298.8000;01/08-M/20-00014;14;18;23167;X-NET, S.L.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;23-Nov-2020;1;298.8000;01/08-N/20-04782;4782;1;53676;INSTALACIONES REJEMAR, S.L.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;25-Nov-2020;1;219.7500;01/04-M/20-01199;1199;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;25-Nov-2020;1;298.8000;01/08-N/20-04848;4848;1;53676;INSTALACIONES REJEMAR, S.L.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;30-Nov-2020;1;278.9000;01/04-M/20-01223;1223;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;2-Dic-2020;1;278.9000;01/04-N/20-00165;165;1;40621;HM HISPAMICRO SISTEMAS INFORMATICOS S.L.U.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;4-Dic-2020;1;298.8000;01/08-N/20-05051;5051;1;30583;HARDTRONIC, S.L.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;18-Dic-2020;10;284.0000;01/08-N/20-05278;5278;1;67067;SATLINK S.L.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;1-Mar-2021;1;312.3700;01/04-M/21-00053;53;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;1-Mar-2021;1;312.3700;01/04-M/21-00128;128;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;1-Mar-2021;1;312.3700;01/04-M/21-00131;131;18;28786;COMPONENTES INFORMATICOS ASTURIAS S.L.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;1-Mar-2021;1;312.3700;01/04-M/21-00220;220;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;1-Mar-2021;1;312.3700;01/04-M/21-00257;257;18;48078;GRUPO ELECTRO STOCKS S.L.U
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;1-Mar-2021;2;334.6600;01/08-N/21-00335;335;1;53676;INSTALACIONES REJEMAR, S.L.
PH 9315;S.A.I. PHASAK Online Rack 19" 1500 VA LCD;1-Mar-2021;8;299.0000;01/08-N/21-00365;365;1;67067;SATLINK S.L.
